,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
49,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,inference_graph.csv,0,1,0,1,simple_rdf_prop,2003,151,2994,1.1155689245335472e-07,2994,0,2.3247462919594066,1.7864427114577084,0,0,0
50,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,inference_valid.csv,0,1,0,1,simple_rdf_prop,569,52,449,4.9602928556902e-06,449,0,1.0369515011547343,2.4010695187165774,0,0,0
51,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,inference_test.csv,0,1,0,1,simple_rdf_prop,291,34,228,1.9236688211757463e-05,228,0,1.0704225352112675,1.982608695652174,0,0,0
52,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_sp,train.csv,0,1,1,0,simple_rdf_sp,398718,911,898671,1.2382220837904097e-12,898671,0,3.3530233322379233,2.2569079451738014,0,0,0
53,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_sp,inference_graph.csv,0,1,1,0,simple_rdf_sp,68693,716,118731,7.093682539196541e-11,118731,0,4.112775942986268,1.7399438177459445,0,0,0
54,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_sp,inference_valid.csv,0,1,1,0,simple_rdf_sp,24290,506,20201,2.4504974939975124e-09,20201,0,1.678102674862934,1.460454019664546,0,0,0
55,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_sp,inference_test.csv,0,1,1,0,simple_rdf_sp,16022,446,13249,5.6968370835792256e-09,13249,0,1.6824126984126984,1.4506733822402278,0,0,0
56,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,train.csv,0,1,1,0,simple_rdf_prop,396911,909,895962,1.2457210952757327e-12,895962,0,3.354230365707434,2.260359616496605,0,0,0
57,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,inference_graph.csv,0,1,1,0,simple_rdf_prop,68660,714,118690,7.09858423635429e-11,118690,0,4.112780386019822,1.7401597975309369,0,0,0
58,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,inference_valid.csv,0,1,1,0,simple_rdf_prop,24282,505,20197,2.451468228325799e-09,20197,0,1.67832807046701,1.4605872143477003,0,0,0
59,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,inference_test.csv,0,1,1,0,simple_rdf_prop,16016,445,13246,5.6994178546210274e-09,13246,0,1.6826727642276422,1.4508214676889375,0,0,0
60,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,train.csv,0,0,1,1,simple_rdf_reification,185052,11,588444,2.887950346889878e-12,588444,0,5.368899434203322,3.196961298946888,0,0,0
61,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,inference_graph.csv,0,0,1,1,simple_rdf_reification,49519,12,114400,7.640960438163235e-11,114400,0,5.362601549215945,2.324244099162726,0,0,0
62,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,inference_valid.csv,0,0,1,1,simple_rdf_reification,14254,9,20325,2.420688413526202e-09,20325,0,2.397381457891012,2.7165196471531674,0,0,0
63,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,inference_test.csv,0,0,1,1,simple_rdf_reification,11439,9,16550,3.65093418278402e-09,16550,0,2.439563679245283,2.7260747817493,0,0,0
64,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,train.csv,0,1,0,0,simple_rdf_prop,5244,5,12519,6.380588269948219e-09,12519,0,2.927430718647252,2.3838209982788294,0,0,0
65,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,inference_graph.csv,0,1,0,0,simple_rdf_prop,839,6,1332,5.636266897528159e-07,1332,0,3.170673076923077,1.5910735826296742,0,0,0
66,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,inference_valid.csv,0,1,0,0,simple_rdf_prop,269,3,228,1.9236688211757463e-05,228,0,1.0410958904109588,4.470588235294118,0,0,0
67,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,inference_test.csv,0,1,0,0,simple_rdf_prop,121,4,98,0.00010412328196584757,98,0,1.1264367816091954,2.6486486486486487,0,0,0
68,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,train.csv,0,0,1,1,simple_rdf_prop,108837,762,242022,1.7072232200815608e-11,242022,0,3.255527891797322,2.2437182900021333,0,0,0
69,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,inference_graph.csv,0,0,1,1,simple_rdf_prop,27941,577,47341,4.4619545800589704e-10,47341,0,3.9675384744764948,1.7298427015729843,0,0,0
70,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,inference_valid.csv,0,0,1,1,simple_rdf_prop,8994,375,7387,1.8325836264260686e-08,7387,0,1.6559067473660614,1.4512770137524558,0,0,0
71,simple-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,inference_test.csv,0,0,1,1,simple_rdf_prop,7194,342,5938,2.8360874200124085e-08,5938,0,1.652657946006123,1.4550355305072287,0,0,0
72,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop,train.csv,1,0,0,1,simple_rdf_prop,7324,233,17454,3.2825402250029015e-09,17454,0,2.2113124049232473,6.623860811930406,0,0,0
73,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop,inference_graph.csv,1,0,0,1,simple_rdf_prop,2140,162,3678,7.392248370083156e-08,3678,0,1.828913156526261,5.194977843426884,0,0,0
74,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop,inference_valid.csv,1,0,0,1,simple_rdf_prop,175,26,136,5.406574394463668e-05,136,0,1.0381679389312977,2.0923076923076924,0,0,0
75,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop,inference_test.csv,1,0,0,1,simple_rdf_prop,155,23,115,7.561436672967863e-05,115,0,1.0360360360360361,1.7164179104477613,0,0,0
76,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,train.csv,0,1,0,1,simple_rdf_reification,14198,11,40099,6.219176977614833e-10,40099,0,4.2157069165175285,3.1052264267990073,0,0,0
77,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,inference_graph.csv,0,1,0,1,simple_rdf_reification,3937,12,8443,1.4028344466391166e-08,8443,0,4.486530172413793,2.3136982495137537,0,0,0
78,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,inference_valid.csv,0,1,0,1,simple_rdf_reification,1440,9,2141,2.1815575055286121e-07,2141,0,2.345016429353779,3.906934306569343,0,0,0
79,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,inference_test.csv,0,1,0,1,simple_rdf_reification,554,10,647,2.388864071245482e-06,647,0,1.6805194805194805,3.516304347826087,0,0,0
80,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop,train.csv,0,0,0,0,simple_rdf_prop,1266,5,2514,1.5822294118726697e-07,2514,0,2.2223206377325067,1.9960222752585521,0,0,0
81,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop,inference_graph.csv,0,0,0,0,simple_rdf_prop,242,6,347,8.305027032862993e-06,347,0,3.1944444444444446,1.4556962025316456,0,0,0
82,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop,inference_valid.csv,0,0,0,0,simple_rdf_prop,57,2,45,0.0004938271604938272,45,0,1.0,3.75,0,0,0
83,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop,inference_test.csv,0,0,0,0,simple_rdf_prop,42,3,30,0.0011111111111111111,30,0,1.0,2.3076923076923075,0,0,0
84,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,train.csv,1,1,0,1,simple_rdf_reification,27822,180,88617,1.2734031297482333e-10,88617,0,3.4544873706180517,6.284950402975822,0,0,0
